"","stats","pollutant","mod","data","odds.mean","odds.ll","odds.ul","odds.prob"
"1","Bayesian","PM25","fml101","data_1yr",-0.00287817019896031,-0.0848393510113052,0.122213555120279,0.44325
"2","Bayesian","PM25","fml102","data_1yr",0.0196907492733207,-0.0965593771724996,0.136226389021934,0.59875
"3","Bayesian","PM25","fml103","data_1yr",0.0244018326944877,-0.0843409317095899,0.142327702001917,0.654
"4","Bayesian","PM25","fml104","data_1yr",0.0291851449435414,-0.0746108256751716,0.142465752710505,0.69525
"5","Bayesian","PM25","fml105","data_1yr",-0.00451250531607161,-0.111343765015266,0.106576553646744,0.45375
"6","Bayesian","PM25","fml106","data_1yr",0.0113339843623399,-0.0908435482053026,0.125579439621103,0.584
"7","Bayesian","PM25","fml107","data_1yr",0.0153801016022652,-0.0922969376812691,0.124783889878622,0.62875
"8","Bayesian","PM25","fml108","data_1yr",0.0120004193011403,-0.098169902397406,0.129346609914361,0.55775
"9","Bayesian","PM25","fml109","data_1yr",0.00882911517433005,-0.0923684314911914,0.124286217702642,0.538
"10","Bayesian","PM25","fml110","data_1yr",0.0108247036179057,-0.0962289119860406,0.126426312843353,0.56975
"11","Bayesian","PM25","fml111","data_1yr",0.010930102082453,-0.0867438929278461,0.122019227111203,0.57575
"12","Bayesian","PM25","fml112","data_1yr",0.00901841086004618,-0.101162986275616,0.122923205439679,0.56275
"13","Bayesian","PM25","fml113","data_1yr",0.0110187166488003,-0.094754447423955,0.128029110291619,0.5635
"14","Bayesian","PM25","fml114","data_1yr",0.00940676397462226,-0.105585685495482,0.125521455849883,0.55365
"15","Bayesian","PM25","fml115","data_1yr",0.0134049484954686,-0.094614539702234,0.132748392499375,0.5881
"16","Bayesian","PM25","fml116","data_1yr",0.00927805076519683,-0.102580840120474,0.132029253010719,NA
"17","Bayesian","PM25","fml101","data_5yrs",0.00652480615530249,-0.0921051566732159,0.124321289352624,0.5405
"18","Bayesian","PM25","fml102","data_5yrs",0.0105135227422881,-0.0896515479425491,0.131807786261217,0.54775
"19","Bayesian","PM25","fml103","data_5yrs",0.0143719682677295,-0.0898091321985296,0.133663814539205,0.5835
"20","Bayesian","PM25","fml104","data_5yrs",0.0209029985627776,-0.0788873857767379,0.130143020827371,0.647
"21","Bayesian","PM25","fml105","data_5yrs",-0.00643665964288409,-0.107663091932235,0.0993154517568391,0.43725
"22","Bayesian","PM25","fml106","data_5yrs",0.015537347252605,-0.0881421190907974,0.14008127017366,0.57875
"23","Bayesian","PM25","fml107","data_5yrs",0.0134573744253745,-0.0895725342775625,0.117442697850742,0.5915
"24","Bayesian","PM25","fml108","data_5yrs",0.0101818961461679,-0.09346582768977,0.123649522814074,0.557
"25","Bayesian","PM25","fml109","data_5yrs",0.00863023428181187,-0.0918567864271509,0.1228423587257,0.583
"26","Bayesian","PM25","fml110","data_5yrs",0.0118541919660493,-0.0903273076303104,0.123926551575104,0.58175
"27","Bayesian","PM25","fml111","data_5yrs",0.00958042018933192,-0.0950667524159872,0.121784412715646,0.555
"28","Bayesian","PM25","fml112","data_5yrs",0.0124877304060103,-0.0905605707516813,0.122515379004026,0.573
"29","Bayesian","PM25","fml113","data_5yrs",0.0289263897675922,-0.0805995296777242,0.126918813689248,0.6805
"30","Bayesian","PM25","fml114","data_5yrs",-0.00328335534096036,-0.0872258541605296,0.119435487946411,0.473375
"31","Bayesian","PM25","fml115","data_5yrs",0.00867551245145393,-0.0889592250932414,0.117785394439673,0.5867
"32","Bayesian","PM25","fml116","data_5yrs",0.00499342614645593,-0.104144876552633,0.126086358096171,NA
"33","Bayesian","PM25","fml101","data_10yrs",0.0215012285870504,-0.0854207906376285,0.121408206357815,0.6525
"34","Bayesian","PM25","fml102","data_10yrs",0.0178131922542157,-0.0923850491428088,0.130136892264743,0.62875
"35","Bayesian","PM25","fml103","data_10yrs",0.0174820306984225,-0.0839587568189757,0.133168634303393,0.60925
"36","Bayesian","PM25","fml104","data_10yrs",0.0176225890668835,-0.0839655640070128,0.130411492705157,0.611
"37","Bayesian","PM25","fml105","data_10yrs",0.00139298398783394,-0.0998640059547592,0.110092830245087,0.5035
"38","Bayesian","PM25","fml106","data_10yrs",0.0192219881836861,-0.085824106163069,0.129012201523984,0.629
"39","Bayesian","PM25","fml107","data_10yrs",0.0145789139533894,-0.091991946033984,0.125530024609554,0.6
"40","Bayesian","PM25","fml108","data_10yrs",0.0160420276470599,-0.0886552381932136,0.133353500747777,0.599
"41","Bayesian","PM25","fml109","data_10yrs",0.0149017532588596,-0.0863288238675958,0.121951626501868,0.595
"42","Bayesian","PM25","fml110","data_10yrs",0.0155678347033199,-0.0886859285728785,0.123525746341741,0.59625
"43","Bayesian","PM25","fml111","data_10yrs",0.0181356560511723,-0.0818669155734778,0.132129406608118,0.62575
"44","Bayesian","PM25","fml112","data_10yrs",0.0177428967405118,-0.0836501975112044,0.121821542602267,0.633
"45","Bayesian","PM25","fml113","data_10yrs",0.0117993575889013,-0.0876452685230421,0.130283872727413,0.5755
"46","Bayesian","PM25","fml114","data_10yrs",0.0165097626592363,-0.0867581481672857,0.134008610919317,0.599725
"47","Bayesian","PM25","fml115","data_10yrs",0.0147448002644146,-0.086206465601969,0.129543257657176,0.595775
"48","Bayesian","PM25","fml116","data_10yrs",0.0113709125962604,-0.0928323042703503,0.134427845439175,NA
"49","Bayesian","NOX","fml101","data_1yr",-0.0423716947507863,-0.159592468723766,0.0754241557022817,0.1755
"50","Bayesian","NOX","fml102","data_1yr",-0.0401048238246609,-0.160597555912226,0.0860557173365417,0.23875
