"","stats","pollutant","mod","data","odds.mean","odds.ll","odds.ul","odds.prob"
"1","Bayesian","PM25","fml101","data_1yr",0.016527303720635,-0.0913845077977185,0.127365510425374,0.62075
"2","Bayesian","PM25","fml102","data_1yr",0.0228177334061734,-0.0878318387928941,0.142127318954634,0.63875
"3","Bayesian","PM25","fml103","data_1yr",0.0265767057785202,-0.0860864891642342,0.147487827851879,0.66025
"4","Bayesian","PM25","fml104","data_1yr",0.0299485080099042,-0.0747361996074832,0.143631779466208,0.69425
"5","Bayesian","PM25","fml105","data_1yr",-0.00367376525895369,-0.102134397960387,0.108602523743562,0.4545
"6","Bayesian","PM25","fml106","data_1yr",0.00946163115401211,-0.0850406469656029,0.133955084081741,0.5075
"7","Bayesian","PM25","fml107","data_1yr",0.0149740713417168,-0.0925276433597911,0.140335095873987,0.59475
"8","Bayesian","PM25","fml108","data_1yr",0.0164129791515082,-0.0907164470409255,0.142593451448477,0.5905
"9","Bayesian","PM25","fml109","data_1yr",0.0198613939442753,-0.0914404062412013,0.141453557334767,0.642
"10","Bayesian","PM25","fml110","data_1yr",0.0171115696517237,-0.0893684775934307,0.13525280551791,0.62525
"11","Bayesian","PM25","fml111","data_1yr",0.0340879243148746,-0.0832889163983926,0.130378329032575,0.7245
"12","Bayesian","PM25","fml112","data_1yr",0.0214602748733954,-0.0914922259778035,0.145093214591604,0.60225
"13","Bayesian","PM25","fml113","data_1yr",0.0153533004384157,-0.0992547503911375,0.139060203217065,0.59125
"14","Bayesian","PM25","fml114","data_1yr",0.0177872640800658,-0.0941336550178794,0.137385545542926,0.592975
"15","Bayesian","PM25","fml115","data_1yr",0.0207882794227063,-0.089845546288214,0.142268772875254,0.639225
"16","Bayesian","PM25","fml116","data_1yr",0.0188235800729053,-0.0990401580392315,0.148706875073108,NA
"17","Bayesian","PM25","fml101","data_5yrs",0.0130335073422587,-0.0915004982662385,0.128409512757056,0.578
"18","Bayesian","PM25","fml102","data_5yrs",0.0133908531999949,-0.0963353147426992,0.133889135439295,0.58925
"19","Bayesian","PM25","fml103","data_5yrs",0.0121676247147795,-0.0959649839814551,0.128670799187163,0.584
"20","Bayesian","PM25","fml104","data_5yrs",0.0208586132629254,-0.0796585701843345,0.130780215858443,0.6465
"21","Bayesian","PM25","fml105","data_5yrs",-0.00671360615378136,-0.105916269416346,0.0955658324616429,0.428
"22","Bayesian","PM25","fml106","data_5yrs",0.0102957529150993,-0.0949404090263748,0.12673744481145,0.56275
"23","Bayesian","PM25","fml107","data_5yrs",0.0210738091809177,-0.0941590044483747,0.14037184314337,0.614
"24","Bayesian","PM25","fml108","data_5yrs",0.0147160078695543,-0.0921400138535666,0.132402964152448,0.58675
"25","Bayesian","PM25","fml109","data_5yrs",0.0166474881508056,-0.0972107073541217,0.13314135509691,0.602
"26","Bayesian","PM25","fml110","data_5yrs",0.0151593196678048,-0.0892541475715355,0.121667133724881,0.5755
"27","Bayesian","PM25","fml111","data_5yrs",0.0112235971628636,-0.0986347719052449,0.131872596010987,0.56225
"28","Bayesian","PM25","fml112","data_5yrs",0.0166458297330987,-0.0926746371868531,0.134154779227234,0.6095
"29","Bayesian","PM25","fml113","data_5yrs",0.0116160948408601,-0.0942897292331462,0.133011714596126,0.5665
"30","Bayesian","PM25","fml114","data_5yrs",0.019268365128408,-0.0997415809321553,0.125028661651582,0.655975
"31","Bayesian","PM25","fml115","data_5yrs",0.0108117983388281,-0.0940766701212484,0.136098875962895,0.548925
"32","Bayesian","PM25","fml116","data_5yrs",0.0117734983259039,-0.0996349667278145,0.131469985129392,NA
"33","Bayesian","PM25","fml101","data_10yrs",0.0215590272216244,-0.0884448186204979,0.138091084143941,0.60775
"34","Bayesian","PM25","fml102","data_10yrs",0.0235238466566596,-0.0774965979501138,0.137629928177966,0.725
"35","Bayesian","PM25","fml103","data_10yrs",0.0186986304947407,-0.0923748718208467,0.137676179233607,0.61575
"36","Bayesian","PM25","fml104","data_10yrs",0.0164032373307286,-0.083394186818461,0.123368264121009,0.615
"37","Bayesian","PM25","fml105","data_10yrs",0.00315611384883985,-0.0988215670319821,0.108192590232263,0.5105
"38","Bayesian","PM25","fml106","data_10yrs",0.0192878717574569,-0.0915225910914756,0.138126608688751,0.611
"39","Bayesian","PM25","fml107","data_10yrs",0.0260837335198008,-0.0914311989625124,0.136497138755275,0.64025
"40","Bayesian","PM25","fml108","data_10yrs",0.0196029440554724,-0.0866110207434699,0.138267821785316,0.6335
"41","Bayesian","PM25","fml109","data_10yrs",0.0238958399525695,-0.0865640716699416,0.143993961105366,0.6345
"42","Bayesian","PM25","fml110","data_10yrs",0.0172404054504369,-0.0847079501125791,0.13066511431652,0.59925
"43","Bayesian","PM25","fml111","data_10yrs",0.0190707546287943,-0.0885582625600969,0.140431925337512,0.6075
"44","Bayesian","PM25","fml112","data_10yrs",0.0241456274459686,-0.0927796126522271,0.160051157124666,0.64925
"45","Bayesian","PM25","fml113","data_10yrs",0.0199027391427229,-0.0888036539726891,0.143567719783009,0.62
"46","Bayesian","PM25","fml114","data_10yrs",0.0227816951992659,-0.0876113416642593,0.140142133257963,0.636425
"47","Bayesian","PM25","fml115","data_10yrs",0.0163032115546673,-0.0926399131354989,0.141794453361647,0.5897
"48","Bayesian","PM25","fml116","data_10yrs",0.0226538775979628,-0.0893159070287938,0.147047721588487,NA
"49","Bayesian","NO2","fml101","data_1yr",-0.0288752653764829,-0.108860334523619,0.0586785688958156,0.23875
