"sognecode"
7005
7006
7007
7008
7009
7010
7012
7023
8008
8009
8063
9172
9173
9174
9175
9176
9177
9178
9179
9180
9181
9182
9183
9184
9185
9186
9187
9188
9189
9190
9191
9192
9193
9194
9195
9196
9197
9198
9199
9214
9223
9229
9241
9242
9253
9258
9259
9291
9292
9293
9303
9310
9311
9312
